glossary,description,link
Flow,"
                  Flow is a state that occurs when there is a smooth, linear, and fast movement of work product from step to step in a value stream.                ",
Flow Distribution,"
                  Flow Distribution is a measure of the proportion of work items by type in a system.                ",
Flow Efficiency,"
                  Flow Efficiency is the ratio of the total time spent in value-added work activities divided by the total flow time.                ",
Flow Load,"
                  Flow Load is a measure of the number of work items currently in progress (active or waiting).                ",
Flow Predictability,"
                  Flow Predictability is a measure of how consistently teams, ARTs, and portfolios are able to meet their commitments.                ",
Flow Time,"
                  Flow Time is a measure of the time elapsed from start to completion for a given work item.                ",
Flow Velocity,"
                  Flow Velocity measures the number of completed work items over a time period.                ",
Foundation,"
                  Anchored by the Lean-Agile leadership and continuous learning culture competencies, the SAFe foundation contains the mindset, values, principles, and implementation guidance needed to implement SAFe practices and achieve business agility.                ",
Full SAFe,"
                  Full SAFe is the most comprehensive version of the Framework and supports enterprises that build and maintain a portfolio of large and complex solutions.                ",
Gemba,"
                  Gemba, also known as Genba, is the Japanese word for ‘the real place’ where work is performed and value is created.                ",
Hackathon,"
                  Hackathons are innovation events where team members can work on whatever they want, with whomever they want, so long as the work reflects the mission of the company and they demo their work at the end.                ",
Innovation and Planning Iteration,"
                  The Innovation and Planning (IP) Iteration is a unique, dedicated iteration that occurs every PI. It provides an estimating buffer for meeting PI Objectives and dedicated time for innovation, continuing education, PI Planning, and Inspect and Adapt (I&A) events.                ",https://scaledagileframework.com/innovation-and-planning-iteration/
Inspect and Adapt,"
                  The Inspect and Adapt (I&A) is a significant event held at the end of each PI, where the current state of the Solution is demonstrated and evaluated. Teams then reflect and identify improvement backlog items via a structured problem-solving workshop.                ",https://scaledagileframework.com/inspect-and-adapt/
Integration Point,"
                  An Integration Point is a learning event that pulls various solution elements into an integrated whole that can be objectively evaluated for performance and fitness for use.                ",
Investment Horizons,"
                  Investment Horizons provides a structure for companies to analyze, understand, and allocate investments in current and future business opportunities.                ",
Iteration,"
                  Iterations are a standard, fixed-duration timebox during which Agile Teams and ARTs individually and collectively deliver incremental customer value while working towards the PI objectives.                ",https://scaledagileframework.com/iterations/
Iteration Goals,"
                  Iteration Goals are a high-level summary of the business and technical goals that an Agile Team agrees to accomplish in an Iteration.                ",
Iteration Planning,"
                  Iteration planning is a SAFe Scrum event where all team members determine how much of the Team Backlog they can commit to delivering during an upcoming Iteration. The team summarizes this work as a set of committed iteration goals.                ",https://scaledagileframework.com/iteration-planning/
Iteration Retrospective,"
                  The Iteration Retrospective is a regular event where the team members discuss the results of the iteration, review their practices, and identify ways to improve.                ",https://scaledagileframework.com/iteration-retrospective/
Iteration Review,"
                  The Iteration Review is a regular SAFe Scrum event where the team inspects the iteration increment, assesses progress, and adjusts the team backlog.                ",https://scaledagileframework.com/iteration-review/
Large Solution SAFe,"
                  Large Solution SAFe is for enterprises building large and complex solutions that do not require portfolio concerns.                ",https://scaledagileframework.com/large-solution/
Lean,"
                  Lean is a body of knowledge and a set of practices designed to improve the efficiency and effectiveness of value delivery by reducing delays and eliminating non-value-added activities.                ",
Lean Budget Guardrails,"
                  Lean Budget Guardrails describe the policies and practices for budgeting, spending, and governance for a specific portfolio.                ",https://scaledagileframework.com/guardrails/
Lean Budgets,"
                  Lean Budgets is a financial governance approach that funds value streams instead of projects, accelerating value delivery and reducing the overhead and costs associated with traditional project cost accounting.                ",https://scaledagileframework.com/lean-budgets/
Lean Business Case (LBC),"
                  A Lean Business Case (LBC) is a structured format for describing epics, their MVPs, and projected business value.                ",
Lean Governance,"
                  Lean Governance is the dimension of Lean Portfolio Management that supports oversight of spending, audit, compliance, expenditure, measurement, and reporting.                ",
Lean Portfolio Management (LPM),"
                  The Lean Portfolio Management (LPM) competency aligns strategy and execution by applying Lean and systems thinking approaches to strategy and investment funding, Agile portfolio operations, and governance.                ",https://scaledagileframework.com/lean-portfolio-management/
Lean Quality Management System (Lean QMS),"
                  A Lean Quality Management System (Lean QMS) is a type of quality management system that applies Lean-Agile practices, policies, and procedures to confirm product quality, safety, and efficacy.                ",
Lean User Experience (Lean UX),"
                  Lean User Experience (Lean UX) is a team-based approach to building better products by focusing less on theoretically ideal design and more on iterative learning, overall user experience, and customer outcomes.                ",https://scaledagileframework.com/lean-ux/
Lean-Agile Center of Excellence (LACE),"
                  The Lean-Agile Center of Excellence (LACE) is a small Agile team dedicated to implementing the SAFe Lean-Agile way of working.                ",
Lean-Agile Leadership (LAL),"
                  The Lean-Agile Leadership (LAL) competency describes how leaders drive and sustain organizational change and operational excellence by empowering individuals and teams to reach their highest potential.                ",https://scaledagileframework.com/lean-agile-leadership/
Lean-Agile Mindset,"
                  The Lean-Agile Mindset is the combination of beliefs, assumptions, attitudes, and actions of SAFe leaders and practitioners who embrace the concepts of Lean Thinking and the Agile Manifesto.                ",https://scaledagileframework.com/lean-agile-mindset/
Little's Law,"
                  Little’s Law is a queuing theory that states that the average wait time for service from a system equals the ratio of the average queue length divided by the average processing rate.                ",
Measure and Grow,"
                  Measure and Grow is an approach SAFe enterprises use to evaluate progress towards Business Agility and determine improvement actions.                ",https://scaledagileframework.com/measure-and-grow/
Milestone,"
                  A milestone is a specific goal, event, or point in time used to evaluate progress toward a larger objective.                ",
Minimum Marketable Feature (MMF),"
                  A Minimum Marketable Feature (MMF) is the minimum functionality needed to validate a feature benefit hypothesis.                ",
Minimum Viable Product (MVP),"
                  A Minimum Viable Product (MVP) is an early and minimal version of a new solution sufficient to prove or disprove an epic hypothesis.                ",
Model-Based Systems Engineering (MBSE),"
                  Model-Based Systems Engineering (MBSE) is the practice of developing a set of related models that help define, design, simulate, and document a system under development.                ",https://scaledagileframework.com/model-based-systems-engineering/
Modified Fibonacci Sequence,"
                  A Modified Fibonacci Sequence is a relative estimating number sequence (1, 2, 3, 5, 8, 13, 20, 40, 100) that reflects the inherent uncertainty of the job being estimated.                ",
Nonfunctional Requirements (NFRs),"
                  Nonfunctional Requirements (NFRs) are system qualities that guide the design of the solution and often serve as constraints across the relevant backlogs.                ",https://scaledagileframework.com/nonfunctional-requirements/
Objectives and Key Results (OKRs),"
                  Objectives and Key Results (OKRs) is a collaborative framework for establishing clear goals and measurable outcomes.                 ",https://scaledagileframework.com/okrs/
Operational Value Streams (OVS),"
                  An Operational Value Stream (OVS) is the sequence of activities needed to deliver a product or service to a customer.                ",https://scaledagileframework.com/operational-value-streams
Organizational Agility (OA),"
                  The Organizational Agility (OA) competency describes how Lean-thinking people and Agile teams across the enterprise optimize their business processes, evolve strategy with clear and decisive new commitments, and quickly adapt the organization as needed to capitalize on new opportunities.                ",https://scaledagileframework.com/organizational-agility/
PI Objectives,"
                  PI Objectives summarize the business and technical goals that teams and trains intend to achieve in the upcoming PI and are either committed or uncommitted.                ",https://scaledagileframework.com/pi-objectives/
PI Planning,"
                  PI Planning is a cadence-based event for the entire ART that aligns teams and stakeholders to a shared mission and vision.                ",https://scaledagileframework.com/pi-planning/
Pareto Analysis,"
                  Pareto Analysis is a technique used during an Inspect & Adapt event to narrow down the number of actions that produce the most significant overall effect.                ",
Participatory Budgeting (PB),"
                  Participatory Budgeting (PB) is a collaborative process for allocating the portfolio budget to its value streams.                ",https://scaledagileframework.com/participatory-budgeting
Personas,"
                  Personas are representative characterizations of the people who use or could use the product.                ",
Phase Gate,"
                  Phase Gates are governance milestones based upon sequential, legacy approaches to measuring progress in solution development.                ",
Plan-Do-Check-Adjust (PDCA),"
                  Plan-Do-Check-Adjust (PDCA) is an expression of the scientific method for creating a hypothesis, experimenting, and evaluating the results to navigate uncertainty and create new learning.                ",
Planning Interval (PI),"
                  A Planning Interval (PI) is a cadence-based timebox in which Agile Release Trains deliver continuous value to customers in alignment with PI Objectives.                ",https://scaledagileframework.com/planning-interval/
Portfolio,"
                  A SAFe Portfolio is a set of value streams that delivers a continuous flow of valuable solutions to customers within a common funding and governance model.                ",https://scaledagileframework.com/portfolio/
Portfolio Backlog,"
                  The Portfolio Backlog is a Kanban system that is used to capture and manage the business and enabler epics intended to create and evolve the portfolio’s products, services, and solutions.                ",https://scaledagileframework.com/portfolio-backlog/
Portfolio Canvas,"
                  The Portfolio Canvas defines the development value streams in a SAFe portfolio, their solutions, their revenue streams, the customers they serve, and other key business elements.                ",
Portfolio Flow,"
                  Portfolio Flow describes a state where Lean Portfolio Management provides a continuous flow of new epics to Solution Trains and ARTs to achieve the portfolio’s vision and strategic themes.                ",https://scaledagileframework.com/portfolio-flow/
Portfolio Kanban,"
                  The Portfolio Kanban system is a method to visualize and manage the flow of portfolio epics, from ideation through analysis and implementation.                ",
Portfolio SAFe,"
                  Portfolio SAFe provides strategy and investment funding, Agile portfolio operations, and Lean governance for one or more value streams.                ",https://scaledagileframework.com/portfolio/
Portfolio Vision,"
                  The Portfolio Vision describes the future state of a portfolio’s value streams and solutions.                ",https://scaledagileframework.com/portfolio-vision/
Pre-Plan,"
                  Pre-Plan describes the activities that align and prepare ARTs within a Solution Train for PI planning.                ",https://scaledagileframework.com/pre-plan/
Problem-Solving Workshop,"
                  The Problem Solving Workshop is an Inspect and Adapt (I&A) event that provides a structured approach to identifying the root cause and actions to address systemic problems.                ",
Product Management,"
                  Product Management is the function responsible for defining desirable, viable, feasible, and sustainable solutions that meet customer needs and supporting development across the product life cycle.                ",https://scaledagileframework.com/product-management/
Product Owner (PO),"
                  The Product Owner (PO) is the Agile team member primarily responsible for maximizing the value delivered by the team by ensuring that the team backlog is aligned with customer and stakeholder needs.                ",https://scaledagileframework.com/product-owner/
Product Owner (PO) Sync,"
                  The PO Sync is an ART event used to gain visibility into the ART’s progress toward meeting its PI objectives and to make any necessary adjustments.                ",
Refactoring,"
                  Refactoring is the activity of improving the internal structure or operation of a code or component without changing its external behavior.                ",
Relative Estimation,"
                  Relative Estimation is a technique that is used to quickly compare the size and value of jobs in the system.                ",
Release,"
                  A release makes deployed functionality available to end-users.                ",
Release Train Engineer (RTE),"
                  The Release Train Engineer (RTE) is a servant leader and ART coach who facilitates ART events and processes, and supports teams in delivering value.                ",https://scaledagileframework.com/release-train-engineer
Release on Demand,"
                  Release on Demand is an aspect of the Continuous Delivery Pipeline that releases new functionality immediately or incrementally based on business and customer needs.                ",https://scaledagileframework.com/release-on-demand/
Relentless Improvement,"
                  Relentless Improvement is the SAFe core value that encourages learning and growth through continuous reflection and improvement.                ",
Roadmap,"
                  The Roadmap is a schedule of events and milestones that forecasts and communicates planned solution deliverables over a time horizon.                ",https://scaledagileframework.com/roadmap/
SAFe,"
                  SAFe is the world’s leading framework for Business Agility. SAFe integrates the power of Lean, Agile, and DevOps into a comprehensive operating system that helps enterprises thrive in the digital age by delivering innovative products and services faster, more predictably, and with higher quality.                ",https://scaledagileframework.com/safe/
SAFe Big Picture (BP),"
                  The SAFe Big Picture (BP) is a visual representation of the framework's primary roles, activities, and artifacts.                 ",
SAFe Implementation Roadmap,"
                  The SAFe Implementation Roadmap consists of an overview graphic and a 14-article series that describes a strategy and an ordered set of activities for successfully implementing SAFe.                ",https://scaledagileframework.com/implementation-roadmap/
SAFe Lean Startup Cycle,"
                  The SAFe Lean Startup cycle is an iterative build-measure-learn cycle that has proven to be effective in optimizing the economic value of strategic investments.                ",
SAFe Lean-Agile Principles,"
                  SAFe is based on ten immutable, underlying Lean-Agile principles. These tenets and economic concepts inspire and inform the roles and practices of SAFe.                ",https://scaledagileframework.com/safe-lean-agile-principles/
SAFe Overview,"
                  The SAFe Overview is a visualization of the seven core competencies of Business Agility and the dimensions of each.                ",
SAFe Practice Consultants (SPCs),"
                  SAFe Practice Consultants (SPCs) are certified change agents who combine their technical knowledge of SAFe with an intrinsic motivation to improve the company’s software, systems, and Agile business processes.                ",https://scaledagileframework.com/spc/
SAFe Scrum,"
                  SAFe Scrum is an Agile method used by teams within an ART to deliver customer value in a short time box. SAFe Scrum teams use iterations, Kanban systems, and Scrum events to plan, execute, demonstrate, and retrospect their work.                ",https://scaledagileframework.com/safe-scrum/
SAFe Team Kanban,"
                  SAFe Team Kanban is an Agile method used by teams within an ART to continuously deliver value. SAFe Kanban teams apply a flow-based process to their daily work and operate within the ART iteration cadence.                ",https://scaledagileframework.com/safe-team-kanban/
SAFe for Government,"
                  SAFe for Government is a set of success patterns that help public sector organizations achieve better solution development outcomes by implementing SAFe Lean-Agile values, mindset, principles, and practices.                ",https://scaledagileframework.com/Government/
SWOT Analysis,"
                  SWOT Analysis is a strategic planning technique used to identify strengths, weaknesses, opportunities, and threats of a SAFe portfolio.                ",
Scrum Master/Team Coach (SM/TC),"
                  The SAFe Scrum Master/Team Coach (SM/TC) is a servant leader and coach for an Agile team who facilitates team events and processes, and supports teams and ARTs in delivering value.                ",https://scaledagileframework.com/scrum-master-team-coach/
Set-Based Design,"
                  Set-Based Design (SBD) is a Lean development practice that keeps requirements and design options flexible for as long as possible during the development process.                ",https://scaledagileframework.com/set-based-design/
Shared Services,"
                  Shared Services represents the specialty roles, people, and services required for the success of an ART or Solution Train, but that are not dedicated full-time.                ",https://scaledagileframework.com/shared-services/
Solution,"
                  A Solution is a product, system, or service that provides value to internal or external customers.                ",https://scaledagileframework.com/solution/
Solution Architect,"
                  The Solution Architect is responsible for defining and communicating a shared technical and architectural vision for a Solution Train to help ensure the solution under development will be fit for its intended purpose.                ",https://scaledagileframework.com/solution-architect
Solution Context,"
                  Solution Context identifies the critical aspects of the environment in which a solution operates.                ",https://scaledagileframework.com/solution-context/
Solution Demo,"
                  The Solution Demo provides stakeholders an integrated view of the contributions of multiple ARTs and suppliers to obtain objective evidence of solution performance and to gather feedback.                ",https://scaledagileframework.com/solution-demo/
Solution Intent,"
                  Solution Intent is the repository for storing, managing, and communicating the knowledge of current and intended solution behavior and design.                ",https://scaledagileframework.com/solution-intent/
Solution Management,"
                  Solution Management is the function responsible for defining desirable, viable, feasible, and sustainable large solutions that meet customer needs and for supporting development across the solution life cycle.                 ",https://scaledagileframework.com/solution-management/
Solution Train,"
                  The Solution Train is the organizational construct used to build large solutions that requires the coordination of multiple ARTs and suppliers.                ",https://scaledagileframework.com/solution-train/
Solution Train Backlog,"
                  The Solution Train Backlog is a Kanban system that is used to capture and manage the capabilities and enablers intended to enhance the large solution and extend its architectural runway.                ",https://scaledagileframework.com/art-and-solution-train-backlogs/
Solution Train Engineer (STE),"
                  The Solution Train Engineer (STE) is a servant leader and coach who facilitates Solution Train events and processes, coordinates the work of ARTs and Suppliers, and supports ARTs in delivering value.                ",https://scaledagileframework.com/solution-train-engineer/
Solution Train Flow,"
                  Solution Train Flow describes a state where a Solution Train delivers a continuous flow of valuable capabilities to the customer.                ",https://scaledagileframework.com/solution-train-flow/
Solution Vision,"
                  The Solution Vision represents the future state of the solution under development. It serves as a reflection of customer and stakeholder needs and the proposed product or service to meet those needs.                ",https://scaledagileframework.com/vision/
Spanning Palette,"
                  The Spanning Palette contains various roles and artifacts that may apply to a specific team, ART, large solution, or portfolio context.                ",
Spike,"
                  A Spike is a type of exploration Enabler Story that gains the knowledge necessary to reduce the risk of a technical approach, better understand a requirement, or increase the reliability of an estimate.                ",
Sprint,"
                  Sprint is a Scrum method term for what SAFe defines as an iteration.                ",
Stories,"
                  Stories are short descriptions of a small piece of desired functionality written from the user’s perspective.                ",https://scaledagileframework.com/story/
Story Map,"
                  A Story Map is a design thinking technique that organizes a sequence of stories according to the tasks a user performs to accomplish their goal.                ",
Story Point,"
                  A Story Point is a singular, relative number used to estimate the combination of volume, complexity, knowledge, and uncertainty of user stories.                ",
Strategic Themes,"
                  Strategic themes are portfolio-level business objectives that provide competitive differentiation and strategic advantage. They provide business context for portfolio strategy and decision-making, representing aspects of the enterprise’s strategic intent.                ",https://scaledagileframework.com/strategic-themes/
Sunk Costs,"
                  A Sunk Cost is money that has already been spent and cannot be recovered.                ",
Supplier,"
                  A Supplier is an internal or external organization that develops and delivers solution components, subsystems, or services to ARTs and development value streams.                ",https://scaledagileframework.com/supplier/
System Architect,"
                  The System Architect is responsible for defining and communicating a shared technical and architectural vision for the solutions developed by an ART.                ",https://scaledagileframework.com/system-architect/
System Demo,"
                  The System Demo provides stakeholders an integrated view of new features for the most recent iteration delivered by all the teams on the ART. Each demo provides an objective measure of progress and the opportunity to give feedback.                ",https://scaledagileframework.com/system-demo/
System Team,"
                  The System Team is a specialized Agile team that assists in building and supporting the Agile development environment, including developing and maintaining the Continuous Delivery Pipeline. They may also support the integration of assets, end-to-end solution testing, DevOps mindset and practices, deployment, and release on demand.                ",https://scaledagileframework.com/system-team/
